V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
1	2.15565820427049	0	0	0	0	0	-0.620324349763779	0	0	0
2	2.08245375188899	0	0	0	-0.506547017288735	0	0	0	0	0
3	1.94234845299688	-0.571195510208918	0	0	0	0	0	0	0	0
4	1.96049969507294	0	-0.451868214110057	0	0	0	0	0	0	0
5	2.10389240388483	0	0	0	0	0	0	-0.42111802577544	0	0
6	2.04913379832443	-0.185003088454191	0	0	0	0	-0.461395064643775	0	0	0
7	2.10187921341391	0	0	0	-0.147518597626182	0	-0.474108314234232	0	0	0
8	2.07295858568397	0	-0.120708686146778	0	0	0	-0.494719577120012	0	0	0
9	2.10466522437352	0	0	0	0	0	-0.534529644393932	-0.0865680214426793	0	0
10	2.20622889680417	0	0	0	0	0	-0.689710232126547	0	0	0.0740324392431069
11	2.75516903015791	0	0	0	0	0	0	0	0	0
